id_od;Id_do;km;czas
12070;11838;20,475;0,51
12076;11838;70,3605;1,17
12086;11838;111,491;1,86
12109;11838;48,387;0,81
12113;11838;30,601;0,51
12117;11838;55,5835;0,93
12120;11838;18,8647;0,47
12123;11838;42,084;0,7
12131;11838;57,7738;0,96
12132;11838;81,7708;1,36
12031;11841;64,063;1,07
12053;11841;52,129;0,87
12070;11841;40,433;0,67
12076;11841;44,4002;0,74
12086;11841;208,2636;3,47
12109;11841;68,734;1,15
12113;11841;0,89;0,02
12117;11841;49,0029;0,82
12120;11841;41,5162;0,69
12123;11841;119,2991;1,99
12131;11841;53,817;0,9
12132;11841;68,728;1,15
12031;11842;64,611;1,08
12053;11842;52,677;0,88
12070;11842;40,981;0,68
12076;11842;45,2805;0,75
12086;11842;209,1455;3,49
12109;11842;69,282;1,15
12113;11842;1,2939;0,03
12117;11842;49,8832;0,83
12120;11842;42,3982;0,71
12123;11842;120,181;2
12131;11842;54,365;0,91
12132;11842;111,4889;1,86
12031;11844;50,758;0,85
12053;11844;64,479;1,07
12070;11844;52,783;0,88
12076;11844;5,9835;0,15
12086;11844;95,2329;1,59
12109;11844;81,084;1,35
12113;11844;45,7311;0,76
12117;11844;15,3451;0,38
12123;11844;55,9601;0,93
12131;11844;66,167;1,1
12132;11844;54,924;0,92
12031;11845;44,961;0,75
12053;11845;58,251;0,97
12068;11845;90,8121;1,51
12070;11845;46,555;0,78
12076;11845;6,4358;0,16
12086;11845;94,9738;1,58
12109;11845;74,856;1,25
12113;11845;45,3384;0,76
12117;11845;4,4144;0,11
12120;11845;46,4859;0,77
12123;11845;46,6307;0,78
12131;11845;96,4625;1,61
12132;11845;49,127;0,82
12031;11853;2,906;0,07
12053;11853;48,863;0,81
12068;11853;23,5383;0,59
12070;11853;37,167;0,62
12076;11853;76,2861;1,27
12086;11853;114,9007;1,92
12109;11853;92,9847;1,55
12113;11853;98,6174;1,64
12117;11853;74,0346;1,23
12120;11853;57,5534;0,96
12123;11853;25,9362;0,43
12131;11853;25,6642;0,43
12132;11853;11,9204;0,3
12031;11883;43,18;0,72
12053;11883;88,801;1,48
12068;11883;87,8541;1,46
12070;11883;77,105;1,29
12076;11883;62,9511;1,05
12109;11883;97,716;1,63
12113;11883;105,2286;1,75
12120;11883;87,0607;1,45
12123;11883;43,6728;0,73
12131;11883;45,973;0,77
12132;11883;47,346;0,79
12031;11976;88,316;1,47
12053;11976;76,382;1,27
12070;11976;64,686;1,08
12076;11976;62,5745;1,04
12086;11976;161,8807;2,7
12109;11976;92,987;1,55
12113;11976;39,4434;0,66
12117;11976;67,1772;1,12
12120;11976;80,5477;1,34
12123;11976;107,7922;1,8
12131;11976;78,07;1,3
12132;11976;149,6384;2,49
11826;12031;81,353;1,36
11827;12031;62,396;1,04
11829;12031;66,254;1,1
11830;12031;71,854;1,2
11831;12031;69,739;1,16
11832;12031;69,084;1,15
11833;12031;48,169;0,8
11834;12031;36,612;0,61
11835;12031;41,688;0,69
11836;12031;39,281;0,65
11837;12031;39,476;0,66
11838;12031;46,184;0,77
11841;12031;66,166;1,1
11842;12031;65,794;1,1
11844;12031;50,837;0,85
11845;12031;45,456;0,76
11853;12031;2,902;0,07
11883;12031;43,485;0,72
11976;12031;89,327;1,49
11981;12031;126,9479579;2,12
12053;12031;52,318;0,87
12068;12031;12,837;0,32
12070;12031;40,622;0,68
12076;12031;47,657;0,79
12086;12031;74,851;1,25
12109;12031;61,233;1,02
12113;12031;64,733;1,08
12117;12031;46,258;0,77
12120;12031;39,217;0,65
12123;12031;16,371;0,41
12131;12031;19,402;0,49
12132;12031;10,862;0,27
11826;12053;61,9372;1,03
11827;12053;16,5344;0,41
11829;12053;22,7433;0,57
11830;12053;29,3528;0,49
11831;12053;35,2607;0,59
11832;12053;34,2066;0,57
11833;12053;55,9665;0,93
11834;12053;36,1426;0,6
11835;12053;44,3101;0,74
11836;12053;40,4364;0,67
11837;12053;25,321;0,42
11838;12053;51,5457;0,86
11841;12053;52,773;0,88
11842;12053;52,401;0,87
11844;12053;64,251;1,07
11845;12053;57,843;0,96
11853;12053;49,072;0,82
11883;12053;88,69;1,48
11976;12053;75,934;1,27
11981;12053;194,5482846;3,24
12031;12053;51,51;0,86
12068;12053;39,874;0,66
12070;12053;11,696;0,29
12076;12053;64,289;1,07
12086;12053;116,856;1,95
12109;12053;21,479;0,54
12113;12053;51,34;0,86
12117;12053;50,281;0,84
12120;12053;25,063;0,42
12123;12053;61,576;1,03
12131;12053;41,264;0,69
12132;12053;56,175;0,94
11826;12068;134,5766;2,24
11827;12068;79,9667;1,33
11829;12068;86,1755;1,44
11830;12068;119,2894;1,99
11831;12068;115,8857;1,93
11832;12068;114,8315;1,91
11833;12068;81,1721;1,35
11834;12068;62,5713;1,04
11835;12068;70,7403;1,18
11836;12068;58,4272;0,97
11837;12068;58,2116;0,97
11838;12068;77,9759;1,3
11845;12068;90,7783;1,51
11853;12068;22,9653;0,57
11883;12068;87,2651;1,45
11981;12068;143,874996;2,4
12031;12068;12,636;0,32
12053;12068;39,899;0,66
12070;12068;42,89;0,71
12076;12068;94,3204;1,57
12086;12068;137,3881;2,29
12109;12068;58,667;0,98
12113;12068;107,8293;1,8
12117;12068;76,6241;1,28
12120;12068;57,4488;0,96
12123;12068;49,2395;0,82
12131;12068;20,604;0,52
12132;12068;34,4078;0,57
11826;12070;56,264;0,94
11827;12070;21,774;0,54
11829;12070;25,632;0,43
11830;12070;29,739;0,5
11831;12070;44,65;0,74
11832;12070;43,995;0,73
11833;12070;23,08;0,58
11834;12070;10,762;0,27
11835;12070;15,837;0,4
11836;12070;13,43;0,34
11837;12070;13,625;0,34
11838;12070;20,333;0,51
11841;12070;41,077;0,68
11842;12070;40,705;0,68
11844;12070;52,555;0,88
11845;12070;46,147;0,77
11853;12070;37,376;0,62
11883;12070;76,994;1,28
11976;12070;64,238;1,07
11981;12070;175,7254439;2,93
12031;12070;39,814;0,66
12053;12070;11,696;0,29
12068;12070;42,764;0,71
12076;12070;52,593;0,88
12086;12070;105,16;1,75
12109;12070;29,028;0,48
12113;12070;39,644;0,66
12117;12070;38,585;0,64
12120;12070;13,367;0,33
12123;12070;49,88;0,83
12131;12070;29,568;0,49
12132;12070;44,479;0,74
11826;12076;128,4514;2,14
11827;12076;119,1317;1,99
